,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
7395,IEEE Transactions on Sustainable Computing,2377-3782,2377-3782,3.9,Q2,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q2); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00159,3.33,,,,,,,,,,,,,
7396,IEEE CONTROL SYSTEMS MAGAZINE,1066-033X,1941-000X,5.7,Q1,AUTOMATION & CONTROL SYSTEMS - SCIE (Q1),0.00228,3.1,,,,,,,,,,,,,
7397,IEEE Design & Test,2168-2356,2168-2364,2.0,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00119,2.7,,,,,,,,,,,,,
7398,IEEE ELECTRICAL INSULATION MAGAZINE,0883-7554,1558-4402,2.9,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.00059,2.8,,,,,,,,,,,,,
7399,IEEE ELECTRON DEVICE LETTERS,0741-3106,1558-0563,4.9,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01872,2.8,,,,,,,,,,,,,
7400,IEEE Embedded Systems Letters,1943-0663,1943-0671,1.6,Q3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q4); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q3)",0.00049,2.55,,,,,,,,,,,,,
7401,IEEE Geoscience and Remote Sensing Letters,1545-598X,1558-0571,4.8,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); GEOCHEMISTRY & GEOPHYSICS - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q2); REMOTE SENSING - SCIE (Q2)",0.02371,3.1,,,,,,,,,,,,,
7402,IEEE Geoscience and Remote Sensing Magazine,2473-2397,2168-6831,14.6,Q1,GEOCHEMISTRY & GEOPHYSICS - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q1); REMOTE SENSING - SCIE (Q1),0.0051,3.2,,,,,,,,,,,,,
7403,IEEE Industrial Electronics Magazine,1932-4529,1941-0115,6.3,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.00263,2.8,,,,,,,,,,,,,
7404,IEEE INDUSTRY APPLICATIONS MAGAZINE,1077-2618,1558-0598,0.8,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); ENGINEERING, INDUSTRIAL - SCIE (Q4)",0.00047,3.05,,,,,,,,,,,,,
7405,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,2.1,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); INSTRUMENTS & INSTRUMENTATION - SCIE (Q3)",0.00065,2.7,,,,,,,,,,,,,
7406,INFORMATION AND SOFTWARE TECHNOLOGY,0950-5849,1873-6025,3.9,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q2)",0.00455,3.1,Information and Software Technology,19.82,7.2,2.8,"['Software', 'Information Systems,Physical Science', 'Computer Science Applications']",True,50,19,,,233,8,
7407,IEEE Intelligent Transportation Systems Magazine,1939-1390,1941-1197,3.6,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q2)",0.00269,2.95,,,,,,,,,,,,,
7408,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,0888-613X,1873-4731,3.9,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2)",0.00474,3.6,International Journal of Approximate Reasoning,23.45,5.6,3.4,"['Software', 'Theoretical Computer Science', 'Artificial Intelligence', 'Applied Mathematics']",True,39,23,,146,176,7,
7409,MULTIMEDIA SYSTEMS,0942-4962,1432-1882,3.9,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1)",0.00137,2.95,,,,,,,,,,,,,
7410,PATTERN ANALYSIS AND APPLICATIONS,1433-7541,1433-755X,3.9,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2)",0.00234,3.6,,,,,,,,,,,,,
7411,IEEE Journal of Emerging and Selected Topics in Power Electronics,2168-6777,2168-6785,5.5,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.024,2.8,,,,,,,,,,,,,
7412,IEEE JOURNAL OF OCEANIC ENGINEERING,0364-9059,1558-1691,4.1,Q1,"ENGINEERING, CIVIL - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); ENGINEERING, OCEAN - SCIE (Q2); OCEANOGRAPHY - SCIE (Q1)",0.00403,2.5,,,,,,,,,,,,,
7413,IEEE Journal of Photovoltaics,2156-3381,2156-3403,3.0,Q2,"ENERGY & FUELS - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q2)",0.00771,3.67,,,,,,,,,,,,,
7414,IEEE JOURNAL OF QUANTUM ELECTRONICS,0018-9197,1558-1713,2.5,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); OPTICS - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3); QUANTUM SCIENCE & TECHNOLOGY - SCIE (Q3)",0.00202,2.92,,,,,,,,,,,,,
7415,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2151-1535,5.5,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); GEOGRAPHY, PHYSICAL - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q1); REMOTE SENSING - SCIE (Q2)",0.02475,3.25,,,,,,,,,,,,,
7416,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,1077-260X,1558-4542,4.9,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); OPTICS - SCIE (Q1); PHYSICS, APPLIED - SCIE (Q2); QUANTUM SCIENCE & TECHNOLOGY - SCIE (Q2)",0.00954,2.92,,,,,,,,,,,,,
7417,IEEE Journal of Selected Topics in Signal Processing,1932-4553,1941-0484,7.5,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.01201,2.8,,,,,,,,,,,,,
7418,IEEE JOURNAL OF SOLID-STATE CIRCUITS,0018-9200,1558-173X,5.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.01939,2.8,,,,,,,,,,,,,
7419,IEEE Journal of the Electron Devices Society,2168-6734,2168-6734,2.3,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00408,2.8,,,,,,,,,,,,,
7420,IEEE Journal of Translational Engineering in Health and Medicine,2168-2372,2168-2372,3.4,Q3,"ENGINEERING, BIOMEDICAL - SCIE (Q3)",0.00147,3.6,,,,,,,,,,,,,
7421,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2156-3357,2156-3365,4.6,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.00368,2.8,,,,,,,,,,,,,
7422,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,16.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1)",0.03962,3.25,,,,,,,,,,,,,
7423,IEEE Latin America Transactions,1548-0992,1548-0992,1.3,Q4,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00166,3.25,,,,,,,,,,,,,
7424,IEEE Magnetics Letters,1949-307X,1949-3088,1.2,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); PHYSICS, APPLIED - SCIE (Q4)",0.00104,2.75,,,,,,,,,,,,,
7425,SCIENTOMETRICS,0138-9130,1588-2861,3.9,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2)",0.01409,3.7,,,,,,,,,,,,,
7426,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,1531-1309,1558-1764,3.0,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01093,2.8,,,,,,,,,,,,,
7427,IEEE MICROWAVE MAGAZINE,1527-3342,1557-9581,3.6,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q3)",0.00287,3.25,,,,,,,,,,,,,
7428,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,1615-147X,1615-1488,3.9,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, MULTIDISCIPLINARY - SCIE (Q2); MECHANICS - SCIE (Q1)",0.01216,2.87,,,,,,,,,,,,,
7429,Journal of Cloud Computing-Advances Systems and Applications,,2192-113X,4.0,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.00104,3.7,,,,,,,,,,,,,
7430,IEEE PERVASIVE COMPUTING,1536-1268,1558-2590,1.6,Q4,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4); TELECOMMUNICATIONS - SCIE (Q4)",0.00104,3.4,,,,,,,,,,,,,
7431,IEEE Photonics Journal,1943-0655,1943-0647,2.4,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); OPTICS - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.01186,2.73,,,,,,,,,,,,,
7432,IEEE PHOTONICS TECHNOLOGY LETTERS,1041-1135,1941-0174,2.6,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); OPTICS - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.01049,2.73,,,,,,,,,,,,,
7433,IEEE Power & Energy Magazine,1540-7977,1558-4216,2.8,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.0022,2.8,,,,,,,,,,,,,
7434,IEEE Pulse,2154-2287,2154-2317,0.6,Q4,"ENGINEERING, BIOMEDICAL - SCIE (Q4)",0.00028,3.6,,,,,,,,,,,,,
7435,IEEE Reviews in Biomedical Engineering,1937-3333,1941-1189,17.6,Q1,"ENGINEERING, BIOMEDICAL - SCIE (Q1)",0.00244,3.6,,,,,,,,,,,,,
7436,IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,1558-223X,5.7,Q1,AUTOMATION & CONTROL SYSTEMS - SCIE (Q1); ROBOTICS - SCIE (Q2),0.00236,3.3,,,,,,,,,,,,,
7437,IEEE Robotics and Automation Letters,2377-3766,2377-3766,5.2,Q2,ROBOTICS - SCIE (Q2),0.03576,3.5,,,,,,,,,,,,,
7438,IEEE SECURITY & PRIVACY,1540-7993,1558-4046,1.9,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q3)",0.00162,3.1,,,,,,,,,,,,,
7439,IEEE SENSORS JOURNAL,1530-437X,1558-1748,4.3,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1); PHYSICS, APPLIED - SCIE (Q2)",0.04778,2.7,,,,,,,,,,,,,
7440,IEEE SIGNAL PROCESSING LETTERS,1070-9908,1558-2361,3.9,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01834,2.8,,,,,,,,,,,,,
7441,IEEE SIGNAL PROCESSING MAGAZINE,1053-5888,1558-0792,14.9,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.01564,2.8,,,,,,,,,,,,,
7442,ACM Transactions on Sensor Networks,1550-4859,1550-4867,4.1,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00134,3.7,,,,,,,,,,,,,
7443,IEEE SPECTRUM,0018-9235,1939-9340,3.1,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.00205,2.8,,,,,,,,,,,,,
7444,Artificial Intelligence and Law,0924-8463,1572-8382,4.1,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2)",0.00089,3.65,,,,,,,,,,,,,
7445,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,0278-0097,1937-416X,2.2,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00061,2.8,,,,,,,,,,,,,
7446,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,0018-9251,1557-9603,4.4,Q1,"ENGINEERING, AEROSPACE - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.01323,2.77,,,,,,,,,,,,,
7447,Computers and Concrete,1598-8198,1598-818X,4.1,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); CONSTRUCTION & BUILDING TECHNOLOGY - SCIE (Q2); ENGINEERING, CIVIL - SCIE (Q2); MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE (Q1)",0.00185,2.8,,,,,,,,,,,,,
7448,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,0018-926X,1558-2221,5.7,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1)",0.0483,3.25,,,,,,,,,,,,,
7449,IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1051-8223,1558-2515,1.8,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.01104,2.75,,,,,,,,,,,,,
7450,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286,1558-2523,6.8,Q1,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.06281,2.95,,,,,,,,,,,,,
7451,IEEE Transactions on Automation Science and Engineering,1545-5955,1558-3783,5.6,Q2,AUTOMATION & CONTROL SYSTEMS - SCIE (Q2),0.01123,3.1,,,,,,,,,,,,,
7452,EMPIRICAL SOFTWARE ENGINEERING,1382-3256,1573-7616,4.1,Q2,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q2)",0.00425,2.5,,,,,,,,,,,,,
7453,IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,5.1,Q1,"ENGINEERING, BIOMEDICAL - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.00663,3.2,,,,,,,,,,,,,
7454,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,0018-9294,1558-2531,4.6,Q2,"ENGINEERING, BIOMEDICAL - SCIE (Q2)",0.01692,3.6,,,,,,,,,,,,,
7455,IEEE TRANSACTIONS ON BROADCASTING,0018-9316,1557-9611,4.5,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.0026,3.25,,,,,,,,,,,,,
7456,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1051-8215,1558-2205,8.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.0216,2.8,,,,,,,,,,,,,
7457,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,1549-7747,1558-3791,4.4,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01965,2.8,,,,,,,,,,,,,
7458,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,1549-8328,1558-0806,5.1,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1)",0.02127,2.8,,,,,,,,,,,,,
7459,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,0951-192X,1362-3052,4.1,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, MANUFACTURING - SCIE (Q2); OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE (Q2)",0.0026,3.27,,,,,,,,,,,,,
7460,JOURNAL OF COMPUTATIONAL PHYSICS,0021-9991,1090-2716,4.1,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); PHYSICS, MATHEMATICAL - SCIE (Q1)",0.04438,2.6,Journal of Computational Physics,33.32,12.0,3.5,"['Numerical Analysis', 'Modeling and Simulation', 'Physics and Astronomy miscellaneous', 'Physics and Astronomy all', 'Computer Science Applications', 'Computational Mathematics', 'Applied Mathematics']",True,84,33,,,233,8,33%
7461,IEEE Transactions on Cognitive Communications and Networking,2332-7731,2332-7731,8.6,Q1,TELECOMMUNICATIONS - SCIE (Q1),0.00782,3.7,,,,,,,,,,,,,
7462,IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,1558-0857,8.3,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); TELECOMMUNICATIONS - SCIE (Q1)",0.0467,3.25,,,,,,,,,,,,,
7463,IEEE Transactions on Components Packaging and Manufacturing Technology,2156-3950,2156-3985,2.2,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); ENGINEERING, MANUFACTURING - SCIE (Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3)",0.00449,3.3,,,,,,,,,,,,,
7464,IEEE Transactions on Computational Imaging,2573-0436,2333-9403,5.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q1)",0.00697,3.0,,,,,,,,,,,,,
7465,SOCIAL SCIENCE COMPUTER REVIEW,0894-4393,1552-8286,4.1,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2)",0.00523,3.7,,,,,,,,,,,,,
7466,SOFT COMPUTING,1432-7643,1433-7479,4.1,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2)",0.02189,3.65,,,,,,,,,,,,,
7467,Frontiers of Computer Science,2095-2228,2095-2236,4.2,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE (Q1)",0.00216,2.8,,,,,,,,,,,,,
7468,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,0098-3063,1558-4127,4.3,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00158,3.25,,,,,,,,,,,,,
7469,IEEE Transactions on Control of Network Systems,2325-5870,2372-2533,4.2,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.01259,3.4,,,,,,,,,,,,,
7470,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,1558-0865,4.8,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01626,2.95,,,,,,,,,,,,,
7471,Peer-to-Peer Networking and Applications,1936-6442,1936-6450,4.2,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2); TELECOMMUNICATIONS - SCIE (Q2)",0.00381,3.7,,,,,,,,,,,,,
7472,SIMULATION MODELLING PRACTICE AND THEORY,1569-190X,1878-1462,4.2,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1)",0.00325,3.1,Simulation Modelling Practice and Theory,8.8,1.8,2.6,"['Software', 'Modeling and Simulation', 'Hardware and Architecture']",True,12,8,2,93,135,6,9%
7473,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1530-4388,1558-2574,2.0,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.00157,2.75,,,,,,,,,,,,,
7474,IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1070-9878,1558-4135,3.1,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); PHYSICS, APPLIED - SCIE (Q2)",0.00638,2.75,,,,,,,,,,,,,
7475,IEEE TRANSACTIONS ON EDUCATION,0018-9359,1557-9638,2.6,Q3,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE (Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3)",0.00092,2.8,,,,,,,,,,,,,
7476,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,0018-9375,1558-187X,2.1,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q3)",0.00487,3.25,,,,,,,,,,,,,
7477,IEEE TRANSACTIONS ON ELECTRON DEVICES,0018-9383,1557-9646,3.1,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); PHYSICS, APPLIED - SCIE (Q2)",0.02222,2.75,,,,,,,,,,,,,
7478,VIRTUAL REALITY,1359-4338,1434-9957,4.2,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q2)",0.00221,3.13,,,,,,,,,,,,,
7479,VLDB JOURNAL,1066-8888,0949-877X,4.2,Q2,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q2); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.00176,3.15,,,,,,,,,,,,,
7480,IEEE TRANSACTIONS ON ENERGY CONVERSION,0885-8969,1558-0059,4.9,Q2,"ENERGY & FUELS - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.01451,3.8,,,,,,,,,,,,,
7481,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0018-9391,1558-0040,5.8,Q2,"ENGINEERING, INDUSTRIAL - SCIE (Q2)",0.00533,3.3,,,,,,,,,,,,,
7482,COMPUTER SPEECH AND LANGUAGE,0885-2308,1095-8363,4.3,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2)",0.00217,3.6,Computer Speech and Language,14.94,9.6,3.1,"['Software', 'Theoretical Computer Science', 'Human-Computer Interaction,Physical Sciencs']",True,67,14,,,272,9,
7483,COMPUTER-AIDED DESIGN,0010-4485,1879-2685,4.3,Q1,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q1)",0.00396,2.5,CAD Computer Aided Design,22.88,6.1,3.2,"['Computer Science Applications', 'Computer Graphics and Computer-Aided Design', 'Industrial and Manufacturing Engineering']",True,42,22,,,190,11,23%
7484,IEEE Transactions on Games,2475-1502,2475-1510,2.3,Q3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q3); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE (Q3)",0.00053,3.05,,,,,,,,,,,,,
7485,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892,1558-0644,8.2,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); GEOCHEMISTRY & GEOPHYSICS - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q1); REMOTE SENSING - SCIE (Q1)",0.05491,3.1,,,,,,,,,,,,,
7486,IEEE Transactions on Green Communications and Networking,2473-2400,2473-2400,4.8,Q2,TELECOMMUNICATIONS - SCIE (Q2),0.00461,3.7,,,,,,,,,,,,,
7487,IEEE Transactions on Haptics,1939-1412,2329-4051,2.9,Q3,"COMPUTER SCIENCE, CYBERNETICS - SCIE (Q3)",0.00215,3.1,,,,,,,,,,,,,
7488,COMPUTERS & CHEMICAL ENGINEERING,0098-1354,1873-4375,4.3,Q2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, CHEMICAL - SCIE (Q2)",0.01059,3.45,Computers and Chemical Engineering,29.18,5.4,2.4,"['Chemical Engineering all', 'Computer Science Applications']",True,37,29,,155,170,4,29%
7489,COMPUTERS & ELECTRICAL ENGINEERING,0045-7906,1879-0755,4.3,Q2,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2)",0.00894,3.03,Computers and Electrical Engineering,15.5,3.6,3.1,"['Control and Systems Engineering', 'Computer Science all', 'Electrical and Electronic Engineering']",True,25,15,5,123,150,,
7490,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1557-9948,7.7,Q1,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q1); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1)",0.09594,2.83,,,,,,,,,,,,,
7491,DISPLAYS,0141-9382,1872-7387,4.3,Q1,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE (Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1); OPTICS - SCIE (Q2)",0.00087,2.67,Displays,37.92,7.6,2.9,"['Human-Computer Interaction,Physical Sciencs', 'Hardware and Architecture', 'Electrical and Electronic Engineering']",True,53,37,,102,132,7,
7492,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,0093-9994,1939-9367,4.4,Q2,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q2); ENGINEERING, MULTIDISCIPLINARY - SCIE (Q2)",0.03255,2.6,,,,,,,,,,,,,
7493,International Journal of Fuzzy Systems,1562-2479,2199-3211,4.3,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.005,3.47,,,,,,,,,,,,,
