Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,Column1
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,0791-6833,2009-9029,1.5,Q2,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q2); FOOD SCIENCE & TECHNOLOGY - SCIE (Q4)",0.0001,2.25,
IRISH JOURNAL OF MEDICAL SCIENCE,0021-1265,1863-4362,2.1,Q3,"MEDICINE, GENERAL & INTERNAL - SCIE (Q3)",0.0044,2.7,
IRISH VETERINARY JOURNAL,0368-0762,2046-0481,2.9,Q1,VETERINARY SCIENCES - SCIE (Q1),0.0006,1.3,
IRONMAKING & STEELMAKING,0301-9233,1743-2812,2.1,Q2,METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q2),0.00191,1.9,
IRRIGATION AND DRAINAGE,1531-0353,1531-0361,1.9,Q2,AGRONOMY - SCIE (Q2); WATER RESOURCES - SCIE (Q4),0.00127,2.3,
IRRIGATION SCIENCE,0342-7188,1432-1319,3,Q1,AGRONOMY - SCIE (Q1); WATER RESOURCES - SCIE (Q2),0.00105,2.3,
ISA TRANSACTIONS,0019-0578,1879-2022,7.3,Q1,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q1); ENGINEERING, MULTIDISCIPLINARY - SCIE (Q1); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1)",0.01716,2.7,
iScience,N/A,2589-0042,5.8,Q1,MULTIDISCIPLINARY SCIENCES - SCIE (Q1),0.04795,2.7,
ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,1300-3615,1300-3615,0.5,Q4,"ENGINEERING, MECHANICAL - SCIE (Q4); THERMODYNAMICS - SCIE (Q4)",0.0001,2.45,
ISIJ INTERNATIONAL,0915-1559,1347-5460,1.8,Q3,METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q3),0.00446,1.9,
ISIS,0021-1753,1545-6994,0.6,Q2,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q2),0.00105,0.75,
ISJ-Invertebrate Survival Journal,1824-307X,N/A,0.7,Q4,IMMUNOLOGY - SCIE (Q4); ZOOLOGY - SCIE (Q4),0.00017,2.85,
ISLAND ARC,1038-4871,1440-1738,1.5,Q4,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q4)",0.00086,2.7,
Islets,1938-2014,1938-2022,2.2,Q4,ENDOCRINOLOGY & METABOLISM - SCIE (Q4),0.00056,3.8,
ISME Journal,1751-7362,1751-7370,11,Q1,ECOLOGY - SCIE (Q1); MICROBIOLOGY - SCIE (Q1),0.04001,3,
ISOKINETICS AND EXERCISE SCIENCE,0959-3020,1878-5913,0.7,Q4,"ENGINEERING, BIOMEDICAL - SCIE (Q4); ORTHOPEDICS - SCIE (Q4); SPORT SCIENCES - SCIE (Q4)",0.00027,2.8,
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1025-6016,1477-2639,1.3,Q4,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE (Q4); ENVIRONMENTAL SCIENCES - SCIE (Q4)",0.00071,2.85,
COMPUTERS & SECURITY,0167-4048,1872-6208,5.6,Q2,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q2)",0.01042,3.7,
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1872-8235,12.7,Q1,"GEOGRAPHY, PHYSICAL - SCIE (Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q1); REMOTE SENSING - SCIE (Q1)",0.02365,3.23,
ISRAEL JOURNAL OF CHEMISTRY,0021-2148,1869-5868,3.2,Q2,"CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q2)",0.00337,3.2,
Israel Journal of Ecology & Evolution,1565-9801,2224-4662,1.2,Q4,ECOLOGY - SCIE (Q4); EVOLUTIONARY BIOLOGY - SCIE (Q4),0.00018,2.7,
ISRAEL JOURNAL OF MATHEMATICS,0021-2172,1565-8511,1,Q2,MATHEMATICS - SCIE (Q2),0.00784,0.9,
ISRAEL JOURNAL OF PLANT SCIENCES,0792-9978,2223-8980,1,Q4,PLANT SCIENCES - SCIE (Q4),0.00018,2.1,
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,0333-7308,0333-7308,0.4,Q4,PSYCHIATRY - SCIE (Q4),0.00024,3.35,
ISRAEL JOURNAL OF VETERINARY MEDICINE,0334-9152,2304-8859,0.5,Q4,VETERINARY SCIENCES - SCIE (Q4),0.0001,1.3,
ISRAEL MEDICAL ASSOCIATION JOURNAL,1565-1088,1565-1088,1.6,Q3,"MEDICINE, GENERAL & INTERNAL - SCIE (Q3)",0.00205,2.7,
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,0792-156X,N/A,0.6,Q4,FISHERIES - SCIE (Q4),0.00018,1.9,
Issues in Mental Health Nursing,0161-2840,1096-4673,2.1,Q2,NURSING - SCIE (Q2); PSYCHIATRY - SCIE (Q4),0.00298,2.67,
ISSUES IN SCIENCE AND TECHNOLOGY,0748-5492,1938-1557,1.7,Q3,"ENGINEERING, INDUSTRIAL - SCIE (Q4); ENGINEERING, MULTIDISCIPLINARY - SCIE (Q3); MULTIDISCIPLINARY SCIENCES - SCIE (Q3)",0.00094,2.8,
International Journal of Machine Learning and Cybernetics,1868-8071,1868-808X,5.6,Q2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE (Q2)",0.00638,3.6,
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,2038-5625,2038-5625,1.2,Q3,AGRONOMY - SCIE (Q3); ENVIRONMENTAL SCIENCES - SCIE (Q4); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q4),7.00E-05,2.83,
Italian Journal of Agronomy,1125-4718,2039-6805,2.2,Q2,AGRONOMY - SCIE (Q2),0.00046,1.9,
Italian Journal of Animal Science,1594-4077,1828-051X,2.5,Q1,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE (Q2); VETERINARY SCIENCES - SCIE (Q1)",0.00255,1.55,
Italian Journal of Dermatology and Venereology,2784-8671,2784-8450,1.9,Q3,DERMATOLOGY - SCIE (Q3),0.00031,2.5,
ITALIAN JOURNAL OF FOOD SCIENCE,1120-1770,2239-5687,2.6,Q3,FOOD SCIENCE & TECHNOLOGY - SCIE (Q3),0.00067,3.1,
Italian Journal of Geosciences,2038-1719,2038-1727,1.8,Q3,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q3)",0.00059,2.7,
Italian Journal of Pediatrics,1720-8424,1824-7288,3.6,Q1,PEDIATRICS - SCIE (Q1),0.00488,2.2,
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,0162-8178,N/A,0.3,Q4,"ENGINEERING, CIVIL - SCIE (Q4); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q4)",0.00023,2.85,
ITEA-Informacion Tecnica Economica Agraria,1699-6887,2386-3765,0.4,Q4,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE (Q4); AGRONOMY - SCIE (Q4)",9.00E-05,1.85,
IUBMB LIFE,1521-6543,1521-6551,4.6,Q2,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q2); CELL BIOLOGY - SCIE (Q2),0.00552,4,
IUCrJ,2052-2525,2052-2525,3.9,Q1,"CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q2); CRYSTALLOGRAPHY - SCIE (Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q2)",0.00861,2.93,
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,1555-628X,0.7,Q4,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q4); OCEANOGRAPHY - SCIE (Q4),0.00083,2.75,
IZVESTIYA MATHEMATICS,1064-5632,1468-4810,0.8,Q3,MATHEMATICS - SCIE (Q3),0.00149,0.9,
IZVESTIYA-PHYSICS OF THE SOLID EARTH,1069-3513,1555-6506,1,Q4,GEOCHEMISTRY & GEOPHYSICS - SCIE (Q4),0.00074,2.3,
JAAPA-Journal of the American Academy of Physician Assistants,1547-1896,0893-7400,1.1,Q4,"MEDICINE, GENERAL & INTERNAL - SCIE (Q4)",0.00105,2.7,
JACC: CardioOncology,2666-0873,2666-0873,11.1,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1); ONCOLOGY - SCIE (Q1),0.00376,3.35,
JACC-Basic to Translational Science,2452-302X,2452-302X,9.7,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1),0.00782,3.1,
JACC-Cardiovascular Imaging,1936-878X,1876-7591,14,Q1,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q1)",0.03168,2.95,
JACC-Cardiovascular Interventions,1936-8798,1876-7605,11.3,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1),0.0303,3.1,
JACC-Clinical Electrophysiology,2405-500X,2405-5018,7,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1),0.01371,3.1,
JACC-Heart Failure,2213-1779,2213-1787,13,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1),0.02004,3.1,
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,1525-4135,1077-9450,3.6,Q3,IMMUNOLOGY - SCIE (Q3); INFECTIOUS DISEASES - SCIE (Q3),0.01714,4.1,
JAMA Cardiology,2380-6583,2380-6591,24,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE (Q1),0.04964,3.1,
JAMA Dermatology,2168-6068,2168-6084,10.9,Q1,DERMATOLOGY - SCIE (Q1),0.01721,2.5,
JAMA Internal Medicine,2168-6106,2168-6114,39,Q1,"MEDICINE, GENERAL & INTERNAL - SCIE (Q1)",0.07033,2.7,
JAMA Network Open,2574-3805,2574-3805,13.8,Q1,"MEDICINE, GENERAL & INTERNAL - SCIE (Q1)",0.16294,2.7,
JAMA Neurology,2168-6149,2168-6157,29,Q1,CLINICAL NEUROLOGY - SCIE (Q1),0.04758,3.1,
JAMA Oncology,2374-2437,2374-2445,28.4,Q1,ONCOLOGY - SCIE (Q1),0.07954,3.6,
JAMA Ophthalmology,2168-6165,2168-6173,8.1,Q1,OPHTHALMOLOGY - SCIE (Q1),0.01658,2.3,
JAMA Otolaryngology-Head & Neck Surgery,2168-6181,2168-619X,7.8,Q1,OTORHINOLARYNGOLOGY - SCIE (Q1); SURGERY - SCIE (Q1),0.01184,2.1,
JAMA Pediatrics,2168-6203,2168-6211,26.1,Q1,PEDIATRICS - SCIE (Q1),0.04704,2.2,
JAMA Psychiatry,2168-622X,2168-6238,25.8,Q1,PSYCHIATRY - SCIE (Q1),0.05089,3.35,
JAMA Surgery,2168-6254,2168-6262,16.9,Q1,SURGERY - SCIE (Q1),0.04092,2.1,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,120.7,Q1,"MEDICINE, GENERAL & INTERNAL - SCIE (Q1)",0.29858,2.7,
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,1055-3290,1552-6917,2,Q2,NURSING - SCIE (Q2),0.00181,2,
JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS,0916-7005,1868-937X,0.9,Q3,"MATHEMATICS, APPLIED - SCIE (Q3)",0.00062,1.3,
Japan Journal of Nursing Science,1742-7932,1742-7924,1.7,Q3,NURSING - SCIE (Q3),0.00105,2,
Japanese Dental Science Review,1882-7616,2213-6851,6.6,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q1)",0.00108,2.6,
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,0021-4914,1347-6068,0.5,Q4,ENTOMOLOGY - SCIE (Q4),8.00E-05,1.4,
JAPANESE JOURNAL OF APPLIED PHYSICS,0021-4922,1347-4065,1.5,Q4,"PHYSICS, APPLIED - SCIE (Q4)",0.01201,2.7,
JAPANESE JOURNAL OF CLINICAL ONCOLOGY,0368-2811,1465-3621,2.4,Q4,ONCOLOGY - SCIE (Q4),0.00503,3.6,
JAPANESE JOURNAL OF INFECTIOUS DISEASES,1344-6304,1884-2836,2.2,Q4,INFECTIOUS DISEASES - SCIE (Q4),0.00197,3.8,
Japanese Journal of Mathematics,0289-2316,1861-3624,1.5,Q1,MATHEMATICS - SCIE (Q1),0.00066,0.9,
JAPANESE JOURNAL OF OPHTHALMOLOGY,0021-5155,1613-2246,2.4,Q2,OPHTHALMOLOGY - SCIE (Q2),0.00196,2.3,
Japanese Journal of Radiology,1867-1071,1867-108X,2.1,Q3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q3)",0.00255,2.8,
JAPANESE JOURNAL OF VETERINARY RESEARCH,0047-1917,0047-1917,0.4,Q4,VETERINARY SCIENCES - SCIE (Q4),0.00012,1.3,
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,1525-3961,1438-7573,2.4,Q2,NEUROSCIENCES - SCIE (Q4); OTORHINOLARYNGOLOGY - SCIE (Q2),0.00154,2.75,
JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,0021-3551,N/A,0.4,Q4,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q4)",0.00018,1.4,
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,0003-1488,1943-569X,1.9,Q2,VETERINARY SCIENCES - SCIE (Q2),0.00422,1.3,
JBI Evidence Implementation,2691-3321,2691-3321,2.3,Q3,"HEALTH CARE SCIENCES & SERVICES - SCIE (Q3); MEDICINE, GENERAL & INTERNAL - SCIE (Q3)",0.00027,2.85,
JCI Insight,N/A,2379-3708,8,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE (Q1)",0.06409,4,
JCO Oncology Practice,2688-1527,2688-1535,4,Q2,ONCOLOGY - SCIE (Q2),0.00681,3.6,
JCO Precision Oncology,N/A,2473-4284,4.6,Q2,ONCOLOGY - SCIE (Q2),0.0151,3.6,
JCPSP-Journal of the College of Physicians and Surgeons Pakistan,1022-386X,1681-7168,1,Q4,"MEDICINE, GENERAL & INTERNAL - SCIE (Q4)",0.00233,2.7,
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,1076-1608,1536-7355,3.4,Q3,RHEUMATOLOGY - SCIE (Q3),0.00288,3.9,
JETP LETTERS,0021-3640,1090-6487,1.3,Q4,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q4)",0.00294,2.6,
J-FOR-Journal of Science & Technology for Forest Products and Processes,1927-6311,1927-632X,2,Q2,"MATERIALS SCIENCE, PAPER & WOOD - SCIE (Q2)",3.00E-05,1.4,
JHEP Reports,N/A,2589-5559,8.3,Q1,GASTROENTEROLOGY & HEPATOLOGY - SCIE (Q1),0.00551,3.5,
JMIR Medical Informatics,N/A,2291-9694,3.2,Q3,MEDICAL INFORMATICS - SCIE (Q3),0.00607,3.6,
JMIR Mental Health,2368-7959,2368-7959,5.2,Q2,PSYCHIATRY - SCIE (Q2),0.00721,3.35,
JMIR mHealth and uHealth,2291-5222,2291-5222,5,Q1,HEALTH CARE SCIENCES & SERVICES - SCIE (Q1); MEDICAL INFORMATICS - SCIE (Q2),0.02032,3.3,
JMIR Public Health and Surveillance,2369-2960,2369-2960,8.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE (Q1)",0.00907,3.05,
JMIR Serious Games,2291-9279,2291-9279,4,Q2,"HEALTH CARE SCIENCES & SERVICES - SCIE (Q2); MEDICAL INFORMATICS - SCIE (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE (Q2)",0.00177,3.22,
JNCI-Journal of the National Cancer Institute,0027-8874,1460-2105,10.3,Q1,ONCOLOGY - SCIE (Q1),0.0354,3.6,
JNP- The Journal for Nurse Practitioners,1555-4155,1878-058X,1,Q4,NURSING - SCIE (Q4),0.00147,2,
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,0884-2175,1552-6909,1.8,Q3,NURSING - SCIE (Q3); OBSTETRICS & GYNECOLOGY - SCIE (Q4),0.00207,2.35,
Johnson Matthey Technology Review,2056-5135,2056-5135,2.3,Q3,"CHEMISTRY, PHYSICAL - SCIE (Q3)",0.00077,3.5,
JOINT BONE SPINE,1297-319X,1778-7254,4.2,Q2,RHEUMATOLOGY - SCIE (Q2),0.0042,3.9,
Joint Diseases and Related Surgery,N/A,2687-4792,1.6,Q3,ORTHOPEDICS - SCIE (Q3); SURGERY - SCIE (Q3),0.00063,2.2,
Jokull,0449-0576,0449-0576,0.9,Q4,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q4)",5.00E-05,2.7,
JOM,1047-4838,1543-1851,2.6,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q2); MINERALOGY - SCIE (Q2); MINING & MINERAL PROCESSING - SCIE (Q2)",0.00941,2.42,
JOR Spine,2572-1143,2572-1143,3.7,Q1,ORTHOPEDICS - SCIE (Q1),0.00084,2.3,
Jornal Brasileiro de Pneumologia,1806-3713,1806-3756,2.7,Q3,RESPIRATORY SYSTEM - SCIE (Q3),0.00168,3.4,
Jornal de Pediatria,0021-7557,1678-4782,3.3,Q2,PEDIATRICS - SCIE (Q2),0.00278,2.2,
Joule,2542-4351,2542-4351,39.8,Q1,"CHEMISTRY, PHYSICAL - SCIE (Q1); ENERGY & FUELS - SCIE (Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q1)",0.07923,3.93,
Journal AWWA,0003-150X,1551-8833,0.7,Q4,"ENGINEERING, CIVIL - SCIE (Q4); WATER RESOURCES - SCIE (Q4)",0.00092,2.65,
JOURNAL D ANALYSE MATHEMATIQUE,0021-7670,1565-8538,1,Q2,MATHEMATICS - SCIE (Q2),0.00292,0.9,
Journal de l Ecole Polytechnique-Mathematiques,2429-7100,2270-518X,1.1,Q2,MATHEMATICS - SCIE (Q2),0.0022,0.9,
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,0021-7824,1776-3371,2.3,Q1,"MATHEMATICS - SCIE (Q1); MATHEMATICS, APPLIED - SCIE (Q1)",0.00932,1.1,
JOURNAL DE MYCOLOGIE MEDICALE,1156-5233,1773-0449,3.6,Q2,MYCOLOGY - SCIE (Q2),0.00169,3,
Journal de Theorie des Nombres de Bordeaux,1246-7405,2118-8572,0.4,Q4,MATHEMATICS - SCIE (Q4),0.00102,0.9,
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,1610-0387,3.6,Q1,DERMATOLOGY - SCIE (Q1),0.00314,2.5,
Journal for Healthcare Quality,1062-2551,1945-1474,1.3,Q4,HEALTH CARE SCIENCES & SERVICES - SCIE (Q4),0.00094,3,
Journal for ImmunoTherapy of Cancer,N/A,2051-1426,10.9,Q1,IMMUNOLOGY - SCIE (Q1); ONCOLOGY - SCIE (Q1),0.04859,4,
JOURNAL FOR NATURE CONSERVATION,1617-1381,1618-1093,2,Q2,BIODIVERSITY CONSERVATION - SCIE (Q2); ECOLOGY - SCIE (Q3),0.00224,2.15,
Journal for Specialists in Pediatric Nursing,1539-0136,1744-6155,1.3,Q4,NURSING - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00061,2.1,
JOURNAL FOR THE HISTORY OF ASTRONOMY,0021-8286,1753-8556,0.4,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q4),0.00031,0.75,
JOURNAL FRANCAIS D OPHTALMOLOGIE,0181-5512,1773-0597,1.2,Q4,OPHTHALMOLOGY - SCIE (Q4),0.00138,2.3,
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,0075-4102,1435-5345,1.5,Q1,MATHEMATICS - SCIE (Q1),0.0102,0.9,
JOURNAL OF AAPOS,1091-8531,1528-3933,1.6,Q3,OPHTHALMOLOGY - SCIE (Q4); PEDIATRICS - SCIE (Q3),0.00244,2.25,
Journal of Addiction Medicine,1932-0620,1935-3227,5.5,Q1,SUBSTANCE ABUSE - SCIE (Q1),0.00676,3.4,
Journal of Addictions Nursing,1088-4602,1548-7148,1.5,Q3,NURSING - SCIE (Q3); SUBSTANCE ABUSE - SCIE (Q4),0.00071,2.7,
JOURNAL OF ADHESION,0021-8464,1545-5823,2.2,Q3,"ENGINEERING, CHEMICAL - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); MECHANICS - SCIE (Q3)",0.00148,3.07,
JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,0169-4243,1568-5616,2.3,Q3,"ENGINEERING, CHEMICAL - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); MECHANICS - SCIE (Q3)",0.00256,3.07,
JOURNAL OF ADHESIVE DENTISTRY,1461-5185,1757-9988,3.3,Q2,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q2)",0.00179,2.6,
Journal of Adolescent and Young Adult Oncology,2156-5333,2156-535X,2,Q4,ONCOLOGY - SCIE (Q4),0.00266,3.6,
Journal of Adolescent Health,1054-139X,1879-1972,7.6,Q1,"PEDIATRICS - SCIE (Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE (Q1)",0.0237,2.63,
Journal of Advanced Ceramics,2226-4108,2227-8508,16.9,Q1,"MATERIALS SCIENCE, CERAMICS - SCIE (Q1)",0.00552,1.7,
Journal of Advanced Concrete Technology,1346-8014,1347-3913,2,Q3,"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE (Q3); ENGINEERING, CIVIL - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3)",0.00105,2.9,
Journal of Advanced Mechanical Design Systems and Manufacturing,1881-3054,1881-3054,0.9,Q4,"ENGINEERING, MANUFACTURING - SCIE (Q4); ENGINEERING, MECHANICAL - SCIE (Q4)",0.00064,3.05,
JOURNAL OF ADVANCED NURSING,0309-2402,1365-2648,3.8,Q1,NURSING - SCIE (Q1),0.01212,2,
Journal of Advanced Prosthodontics,2005-7806,2005-7814,2.6,Q3,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q3)",0.00145,2.6,
Journal of Advanced Research,2090-1232,2090-1224,10.7,Q1,MULTIDISCIPLINARY SCIENCES - SCIE (Q1),0.00813,2.7,
JOURNAL OF ADVANCED TRANSPORTATION,0197-6729,2042-3195,2.3,Q3,"ENGINEERING, CIVIL - SCIE (Q3); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE (Q3)",0.00648,2.85,
Journal of Advances in Modeling Earth Systems,N/A,1942-2466,6.8,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q1),0.02273,3.2,
Journal of Aerosol Medicine and Pulmonary Drug Delivery,1941-2711,1941-2703,3.4,Q3,RESPIRATORY SYSTEM - SCIE (Q3),0.0011,3.4,
JOURNAL OF AEROSOL SCIENCE,0021-8502,1879-1964,4.5,Q1,"ENGINEERING, CHEMICAL - SCIE (Q2); ENGINEERING, MECHANICAL - SCIE (Q1); ENVIRONMENTAL SCIENCES - SCIE (Q2); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q2)",0.00442,3.08,
JOURNAL OF AEROSPACE ENGINEERING,0893-1321,1943-5525,2.4,Q2,"ENGINEERING, AEROSPACE - SCIE (Q2); ENGINEERING, CIVIL - SCIE (Q3)",0.00257,2.2,
Journal of Aerospace Information Systems,1940-3151,2327-3097,1.5,Q3,"ENGINEERING, AEROSPACE - SCIE (Q3)",0.00074,1.8,
JOURNAL OF AFFECTIVE DISORDERS,0165-0327,1573-2517,6.6,Q1,CLINICAL NEUROLOGY - SCIE (Q1); PSYCHIATRY - SCIE (Q1),0.07617,3.23,
JOURNAL OF AFRICAN EARTH SCIENCES,1464-343X,1879-1956,2.3,Q3,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q3)",0.00577,2.7,
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1063-8652,1543-267X,1.5,Q4,GERIATRICS & GERONTOLOGY - SCIE (Q4); SPORT SCIENCES - SCIE (Q4),0.00202,3.15,
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1187-7863,1573-322X,1.8,Q1,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q2); ENVIRONMENTAL SCIENCES - SCIE (Q4); HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q1)",0.00117,1.85,
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0021-8561,1520-5118,6.1,Q1,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q1); CHEMISTRY, APPLIED - SCIE (Q1); FOOD SCIENCE & TECHNOLOGY - SCIE (Q1)",0.05485,2.33,
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1068-5502,2327-8285,1.4,Q4,AGRICULTURAL ECONOMICS & POLICY - SCIE (Q4),0.00063,3.3,
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1085-7117,1537-2693,1.4,Q3,BIOLOGY - SCIE (Q4); MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE (Q4); STATISTICS & PROBABILITY - SCIE (Q3),0.00149,2.13,
JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,1477-9552,3.4,Q2,AGRICULTURAL ECONOMICS & POLICY - SCIE (Q2),0.00212,3.3,
Journal of Agricultural Engineering,1974-7071,2239-6268,1.8,Q3,AGRICULTURAL ENGINEERING - SCIE (Q3),0.00037,2.2,
JOURNAL OF AGRICULTURAL METEOROLOGY,0021-8588,1881-0136,1.3,Q3,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q3); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q4)",0.00026,2.3,
JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,1469-5146,2,Q2,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q2)",0.00137,1.4,
Journal of Agricultural Science and Technology,1680-7073,2345-3737,1.2,Q3,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q3)",0.00107,1.4,
Journal of Agricultural Sciences-Tarim Bilimleri Dergisi,1300-7580,2148-9297,0.9,Q3,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q3)",0.00031,1.4,
Journal of Agromedicine,1059-924X,1545-0813,2.4,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE (Q3)",0.00098,3.05,
JOURNAL OF AGRONOMY AND CROP SCIENCE,0931-2250,1439-037X,3.5,Q1,AGRONOMY - SCIE (Q1),0.00196,1.9,
JOURNAL OF AIRCRAFT,0021-8669,1533-3868,2.2,Q2,"ENGINEERING, AEROSPACE - SCIE (Q2)",0.00336,1.8,
JOURNAL OF ALGEBRA,0021-8693,1090-266X,0.9,Q2,MATHEMATICS - SCIE (Q2),0.01573,0.9,
JOURNAL OF ALGEBRA AND ITS APPLICATIONS,0219-4988,1793-6829,0.8,Q3,"MATHEMATICS - SCIE (Q3); MATHEMATICS, APPLIED - SCIE (Q4)",0.00473,1.1,
JOURNAL OF ALGEBRAIC COMBINATORICS,0925-9899,1572-9192,0.8,Q3,MATHEMATICS - SCIE (Q3),0.00269,0.9,
